Id,WebName,FirstName,SecondName,DreamTeam,SelectedBy,Position,Team,GameWeek,Points,Cost,NetTransfers,MinutesPlayed,Goals,Assists,CleanSheet,Bonus,YellowCards,RedCards,GoalsConceded
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,6,10,95,-60128,90,1,0,1,2,0,0,0
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,7,3,95,22694,90,0,0,1,0,0,0,0
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,8,10,95,2273,82,1,0,0,3,0,0,2
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,9,3,96,39619,90,0,0,1,0,0,0,0
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,1,7,75,0,30,0,2,0,0,0,0,1
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,2,3,75,14609,72,0,0,1,0,0,0,0
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,3,9,75,13797,90,1,0,0,2,0,0,1
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,4,9,76,88325,90,1,0,0,3,1,0,1
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,5,2,77,105265,66,0,0,1,0,1,0,0
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,6,3,77,-25590,90,0,0,1,0,0,0,0
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,7,3,76,-36327,90,0,0,1,0,0,0,0
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,8,2,76,-17904,90,0,0,0,0,0,0,2
15,Cazorla,Santiago,Cazorla,False,4.1,Midfielder,Arsenal,9,0,74,-69377,0,0,0,0,0,0,0,0
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,1,2,80,0,60,0,0,0,0,0,0,3
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,2,0,79,-74173,0,0,0,0,0,0,0,0
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,3,0,78,-35326,0,0,0,0,0,0,0,0
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,4,0,78,-10374,0,0,0,0,0,0,0,0
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,5,0,78,-3690,0,0,0,0,0,0,0,0
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,6,0,77,-3950,0,0,0,0,0,0,0,0
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,7,0,77,-2546,0,0,0,0,0,0,0,0
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,8,0,77,-1519,0,0,0,0,0,0,0,0
16,Ramsey,Aaron,Ramsey,False,1.0,Midfielder,Arsenal,9,0,77,-793,0,0,0,0,0,0,0,0
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,1,0,60,0,0,0,0,0,0,0,0,0
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,2,1,60,-1177,18,0,0,0,0,0,0,0
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,3,0,59,526,21,0,0,0,0,1,0,0
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,4,1,59,38634,28,0,0,0,0,0,0,0
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,5,2,59,-3096,67,0,0,0,0,0,0,4
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,6,3,59,-8947,75,0,0,1,0,0,0,0
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,7,1,59,-2495,73,0,0,0,0,1,0,2
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,8,2,59,-1564,78,0,0,0,0,0,0,1
17,Wilshere,Jack,Wilshere,False,0.8,Midfielder,Bournemouth,9,3,59,-4127,90,0,0,1,0,0,0,0
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,1,6,60,0,32,1,0,0,0,0,0,1
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,2,3,60,16361,77,0,0,1,0,0,0,0
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,3,2,60,15313,69,0,0,0,0,0,0,1
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,4,2,60,-14701,61,0,0,0,0,0,0,1
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,5,0,60,-11542,0,0,0,0,0,0,0,0
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,6,0,60,-17715,0,0,0,0,0,0,0,0
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,7,1,59,-8982,20,0,0,0,0,0,0,0
